Type,Subtype,Indel_size,Repeat_MH_size,ID83A (ID2 0.999),ID83B (ID1 1),ID83C (False Positive) (ID1 0.552),ID83D (False Positive) (ID5 0.875),ID83E (ID8 0.989),ID83F (ID3 0.977),ID83G (ID6 0.997),ID83H (ID9 0.994),ID83I (ID13 0.989),ID83J (ID4 0.99),ID83K (ID14 0.979)
INS,repeats,3,0,1.27467098303669e-05,3.91815193233036e-05,0.000203504890778277,0.00581026648113038,0.000347455083859423,0.000133974793516813,0.00103533786546905,0.000505650836857968,0.00129211128645693,0.000105904916631516,0.00805591813288629
INS,repeats,3,1,0.000740501165419119,0.000201105636578891,0.00434998448734405,0.00745011817314662,0.000297941414089867,0.00032769676501791,5.02006328501617e-05,0.000530797789876943,0.00540845289593563,0.000532891010807362,0.00303294485493097
INS,repeats,3,2,0.000135092511742414,2.69724813772254e-05,0.00049736071309565,0.00188568082958227,0,0.000104590636710782,0.000814510209311266,5.43616672075586e-06,0.000581581325313891,0.00106689727967023,0.000287695839126627
INS,repeats,3,3,1.45822148226915e-05,0.000130657504250848,0.000269541406243042,9.28017129808723e-11,2.83396738701214e-05,1.78544964001048e-06,0.000313210085878382,2.41922897293989e-05,7.1107220298483e-05,3.9360247865261e-06,0.000283606328457608
INS,repeats,3,4,9.63597672458501e-05,7.75344100543407e-05,0.000553657607890863,1.86400809320005e-05,9.695347722527e-05,1.27038974181914e-05,0.000150192751789291,4.72015819543448e-05,0,0.000112516503893119,0.000906180352903903
INS,repeats,3,5+,0.00162772082170704,0.000650534926213311,0.00824407260457519,6.33224562163537e-05,2.20656669968823e-05,1.27119448734447e-06,0,1.61362582851154e-09,0,2.06071702396571e-05,0.00212152232707012
INS,repeats,4,0,1.98562361501642e-05,1.65183993110496e-06,4.27066373231355e-05,0.00277740613340256,0.000646892043514526,9.0582982156775e-05,0.00172599136945792,2.24119459744543e-06,0.00258973484335002,0.000512005834898446,0.00535667838063091
INS,repeats,4,1,0.000692168983137186,0.000336933929999091,0.00669609555392526,0.00396956390701234,0.000617489919708958,1.13474539516915e-05,0.000678252425568644,0.000959413962773397,0.00520352819934487,0.00156496155708737,0.00188669262162875
INS,repeats,4,2,2.42458600696605e-06,4.16425931226927e-05,0.000109165370254232,0.000442061295034364,0.000134370986697832,0.000117040504132575,0.000448658004315803,3.08770424453542e-05,0.000157646391007376,3.56039659124008e-05,5.94163468861098e-05
INS,repeats,4,3,0.000250127496728965,5.29448550668565e-05,0.000227361591838502,1.47642112175106e-06,3.99439013563097e-07,1.63325203175191e-06,0.000403729199024383,3.34863434545696e-07,0,7.90029779454926e-05,0.000807928518333938
INS,repeats,4,4,0.000106941596115078,0.000327319712378085,0.0010047354549457,7.90031752330968e-06,0.000101157829183194,7.49863829696551e-07,2.26614580661533e-06,0.000174805315800768,2.10095318084313e-05,0.000257470300057321,0.00144663586455863
INS,repeats,4,5+,0.00159214060142538,0.000444468835303665,0.00869688555336325,0.00071238332107896,0.000943779777153395,5.43293390364852e-07,2.19085206481395e-05,0,0.000781873375053692,0.00010945579552754,0.000160013065324165
INS,repeats,5+,0,5.28656174392239e-12,2.17801790558525e-08,2.79010978522509e-09,0.00446925864554942,0,0.000216351325960888,0.00894166713580489,6.51600261335261e-06,0.00529160996433348,3.84451257771801e-05,0.0028328235540539
INS,repeats,5+,1,1.83427255983961e-05,0.00159268079441972,0.00213888420996369,0.00158858963783132,0.0113634126633406,0.000388595249687578,0.00572848572861403,0.00110128342703096,0.0150470670405775,0.00214325663124328,0.0253910186514258
INS,repeats,5+,2,5.81494055150955e-06,0.000199520753531033,0.000429146368874171,0.000364022187022921,7.99994843873759e-06,9.45498688485219e-06,0.0013623695273418,4.83767729749965e-06,0.000275701556383865,4.14331424963166e-05,0.000507517651567468
INS,repeats,5+,3,5.74552765501576e-05,0.000186353058088571,0.000778953138734847,0.000243240013787727,3.98131242340646e-05,5.93775383229593e-05,5.92588833183072e-05,0.000131539743251778,1.63309401568768e-05,1.35256172325171e-05,9.6749754177381e-05
INS,repeats,5+,4,6.94330891189532e-06,0.000185906373026228,0.000350394160849462,0.000233889331066166,1.60001208575977e-05,1.16470970169758e-05,2.66757275358032e-05,0.000102046382098209,3.76181929459563e-05,6.1707852161419e-11,1.62359791170275e-05
INS,repeats,5+,5+,4.25201469778358e-05,0.000151209463220657,0.000620681082360524,0.000817298089968972,0.000390903404186247,4.98894699285302e-05,2.15959026440647e-07,2.42510473327684e-06,0.000268975180568987,7.61229002819164e-06,0
DEL,MH,2,1,4.49507780444947e-06,1.50810821591463e-05,0.000129516915194321,0.0268470160663128,9.94486812204546e-05,0.00961451521608979,2.95663042925298e-05,7.35925044864416e-05,0.0134276093170047,0.209646345215151,0.00318318854831283
DEL,MH,3,1,1.62860595715131e-06,4.83269534513386e-06,0.00016912814261616,0.014108441285789,0.0121728121582419,0.00139928797492757,0.000833839559782064,0.0013983883203764,0.0111077141767601,0.00621569184120745,0.00127869656134862
DEL,MH,3,2,0.00152629929926667,0.000720765905590254,0.014240532641852,0.0103981822775677,0.00313602726906538,0.000530521833191528,0.00386768028140068,0.000178357316271835,0.00191447141833701,0.0426451801881194,0.00381230354309082
DEL,MH,4,1,2.24898888710223e-05,2.08629001645022e-05,0.000579088244884241,0.0118550475582015,0.00557316064834595,0.000123924623492887,0.00247800087789074,0.00193773578328546,0.0035853015689645,0.0125964398338692,9.11324517801404e-05
DEL,MH,4,2,0.000478126769085066,3.42073831897579e-05,0.000753235233461337,0.00687165393610485,0.000777533449325904,0.000185990648527147,0.00968455785885453,0.00149560961337554,0.00106772573521206,0.0313468556525186,0.000779124781838618
DEL,MH,4,3,0.000386376612773347,0,0.00148714313319942,0.00222733299597166,8.78869631936344e-05,0,0.00494582581333816,0.00109967209515162,0.000155465821440283,0.0489137885952368,0.0017812685953686
DEL,MH,5+,1,0.000536955109152331,7.03303116300624e-10,0.000155535056681604,0.000157693990648753,0.359918671250343,3.55754957969565e-05,0.0652129198238254,0.000180717060620808,0.000439387997036741,0.000410596197640193,0.00135970524359678
DEL,MH,5+,2,1.53293720499782e-08,1.72785225533703e-08,0.00984549719098196,0.00115243879612535,0.118769659557705,0.00114556064829472,0.269249715466067,3.39961399704658e-05,0.00349271520090326,2.69018078860484e-06,0.0014049722121962
DEL,MH,5+,3,1.69493741264404e-10,6.13377635461099e-09,0.000378109797941475,0.00437632092274725,0.0223547364491969,0.000584475984565014,0.246870662271976,1.53217178509177e-05,0.000602768380868243,0.000317058039513203,2.36999825909479e-05
